"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C2","0402","47.1mm","58.3mm","47.1mm","58.3mm","47.1mm","58.3mm","T","90.0","10nF"
"C3","0402","54.0mm","56.8mm","54.0mm","56.8mm","54.0mm","56.8mm","T","90.0","1.0uF"
"C4","0603","47.1mm","55.2mm","47.1mm","55.2mm","47.1mm","55.2mm","T","270.0","2.2uF"
"C5","0603","50.9mm","82.1mm","50.9mm","82.1mm","50.9mm","82.1mm","T","270.0","10uF"
"C6","0603","49.3mm","82.1mm","49.3mm","82.1mm","49.3mm","82.1mm","T","270.0","1.0uF"
"C7","0402","58.5mm","80.4mm","58.5mm","80.4mm","58.5mm","80.4mm","T","90.0","1.0uF"
"C8","0603","54.7mm","77.1mm","54.7mm","77.1mm","54.7mm","77.1mm","T","180.0","10uF"
"C9","0603","54.7mm","74.9mm","54.7mm","74.9mm","54.7mm","74.9mm","T","180.0","1.0uF"
"C10","0603","50.1mm","78.8mm","50.1mm","78.8mm","50.1mm","78.8mm","T","90.0","10uF"
"C11","0603","26.0mm","83.8mm","26.0mm","83.8mm","26.0mm","83.8mm","T","270.0","2.2uF"
"C12","0603","22.2mm","78.0mm","22.2mm","78.0mm","22.2mm","78.0mm","T","0.0","2.2uF"
"C13","0603","22.2mm","80.1mm","22.2mm","80.1mm","22.2mm","80.1mm","T","0.0","10uF"
"C14","0402","19.1mm","84.3mm","19.1mm","84.3mm","19.1mm","84.3mm","T","90.0","10nF"
"C15","0603","16.3mm","84.1mm","16.3mm","84.1mm","16.3mm","84.1mm","T","0.0","10uF"
"C16","0402","43.1mm","50.9mm","43.1mm","50.9mm","43.1mm","50.9mm","T","270.0","1.0uF"
"C17","0402","36.6mm","51.7mm","36.6mm","51.7mm","36.6mm","51.7mm","T","90.0","1.0uF"
"C18","0603","29.8mm","50.0mm","29.8mm","50.0mm","29.8mm","50.0mm","T","270.0","10uF"
"C19","0603","31.8mm","50.0mm","31.8mm","50.0mm","31.8mm","50.0mm","T","270.0","2.2uF"
"C20","0603","34.3mm","52.0mm","34.3mm","52.0mm","34.3mm","52.0mm","T","90.0","10uF"
"C21","0402","31.8mm","79.6mm","31.8mm","79.6mm","31.8mm","79.6mm","T","180.0","1.0uF"
"C22","0402","31.8mm","78.2mm","31.8mm","78.2mm","31.8mm","78.2mm","T","180.0","0.1uF"
"C23","0402","34.6mm","77.3mm","34.6mm","77.3mm","34.6mm","77.3mm","T","0.0","1.0uF"
"C24","0402","34.6mm","75.9mm","34.6mm","75.9mm","34.6mm","75.9mm","T","0.0","0.1uF"
"C25","0402","46.4mm","74.4mm","46.4mm","74.4mm","46.4mm","74.4mm","T","90.0","1.0uF"
"C26","0402","45.0mm","74.4mm","45.0mm","74.4mm","45.0mm","74.4mm","T","90.0","0.1uF"
"C27","0402","34.7mm","57.6mm","34.7mm","57.6mm","34.7mm","57.6mm","T","180.0","0.1uF"
"C28","0402","34.7mm","56.3mm","34.7mm","56.3mm","34.7mm","56.3mm","T","180.0","10uF"
"C29","1210","39.2mm","55.7mm","39.2mm","55.7mm","39.2mm","55.7mm","T","270.0","100uF"
"C30","0402","41.7mm","57.0mm","41.7mm","57.0mm","41.7mm","57.0mm","T","270.0","1.0uF"
"C31","0402","36.0mm","80.3mm","36.0mm","80.3mm","36.0mm","80.3mm","T","90.0","1.0uF"
"C32","0402","36.9mm","56.9mm","36.9mm","56.9mm","36.9mm","56.9mm","T","90.0","1.0uF"
"C33","0402","37.4mm","80.3mm","37.4mm","80.3mm","37.4mm","80.3mm","T","90.0","0.1uF"
"C34","0402","32.1mm","53.6mm","32.1mm","53.6mm","32.1mm","53.6mm","T","180.0","1.0uF"
"C35","0402","32.1mm","55.0mm","32.1mm","55.0mm","32.1mm","55.0mm","T","180.0","0.1uF"
"C36","0402","29.5mm","56.6mm","29.5mm","56.6mm","29.5mm","56.6mm","T","0.0","NI"
"C37","0402","32.1mm","56.6mm","32.1mm","56.6mm","32.1mm","56.6mm","T","0.0","NI"
"C38","0402","28.6mm","81.4mm","28.6mm","81.4mm","28.6mm","81.4mm","T","0.0","1.5nF"
"C39","0402","29.8mm","42.2mm","29.8mm","42.2mm","29.8mm","42.2mm","T","180.0","0.1uF"
"C40","0402","16.2mm","74.9mm","16.2mm","74.9mm","16.2mm","74.9mm","T","180.0","4.7nF"
"C41","0402","16.2mm","71.6mm","16.2mm","71.6mm","16.2mm","71.6mm","T","180.0","4.7nF"
"C42","0402","16.2mm","68.3mm","16.2mm","68.3mm","16.2mm","68.3mm","T","180.0","4.7nF"
"C43","0402","16.2mm","65.0mm","16.2mm","65.0mm","16.2mm","65.0mm","T","180.0","4.7nF"
"C44","0402","16.2mm","61.7mm","16.2mm","61.7mm","16.2mm","61.7mm","T","180.0","4.7nF"
"C45","0402","16.2mm","58.5mm","16.2mm","58.5mm","16.2mm","58.5mm","T","180.0","4.7nF"
"C46","0402","16.2mm","55.1mm","16.2mm","55.1mm","16.2mm","55.1mm","T","180.0","4.7nF"
"C47","0402","16.2mm","51.8mm","16.2mm","51.8mm","16.2mm","51.8mm","T","180.0","4.7nF"
"C48","0402","25.7mm","42.2mm","25.7mm","42.2mm","25.7mm","42.2mm","T","180.0","0.1uF"
"C49","0603","64.1mm","73.5mm","64.1mm","73.5mm","64.1mm","73.5mm","T","270.0","10uF"
"C50","0603","71.9mm","73.5mm","71.9mm","73.5mm","71.9mm","73.5mm","T","270.0","10uF"
"C51","0603","63.8mm","67.1mm","63.8mm","67.1mm","63.8mm","67.1mm","T","270.0","10uF"
"C52","0603","71.6mm","67.1mm","71.6mm","67.1mm","71.6mm","67.1mm","T","270.0","10uF"
"C53","0603","6.4mm","37.5mm","6.4mm","37.5mm","6.4mm","37.5mm","T","0.0","10uF"
"C54","0603","6.4mm","45.6mm","6.4mm","45.6mm","6.4mm","45.6mm","T","0.0","10uF"
"C55","0402","24.8mm","4.7mm","24.8mm","4.7mm","24.8mm","4.7mm","T","270.0","0.1uF"
"C56","0402","32.6mm","4.4mm","32.6mm","4.4mm","32.6mm","4.4mm","T","270.0","0.1uF"
"C57","0402","44.7mm","16.9mm","44.7mm","16.9mm","44.7mm","16.9mm","T","90.0","22pF"
"C58","0402","44.5mm","24.6mm","44.5mm","24.6mm","44.5mm","24.6mm","T","270.0","22pF"
"C59","0402","39.8mm","32.6mm","39.8mm","32.6mm","39.8mm","32.6mm","T","0.0","0.1uF"
"C60","0402","23.0mm","41.7mm","23.0mm","41.7mm","23.0mm","41.7mm","T","90.0","0.1uF"
"C61","0402","39.9mm","28.2mm","39.9mm","28.2mm","39.9mm","28.2mm","T","0.0","0.1uF"
"C62","0402","39.8mm","24.1mm","39.8mm","24.1mm","39.8mm","24.1mm","T","0.0","0.1uF"
