Qty,Value,Device,Parts,Package,Description,DESCRIPTION,HEIGHT,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PROD_ID,RS_PART_NUMBER,RS_PRICE-STOCK,SF_ID,SF_SKU,SUPPLIER,VALUE
42,0.1uF,0.1UF-0402-16V-10%,"C22, C24, C26, C27, C33, C35, C39, C48, C55, C56, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C92, C93, C94",402,0.1åµF ceramic capacitors,,,,,,,,,,,,CAP-12416,,,,,,0.1uF
2,NI,0.1UF-0402-16V-10%,"C36, C37",402,0.1åµF ceramic capacitors,,,,,,,,,,,,CAP-12416,,,,,,0.1uF
8,0OHM,0OHM,"R4, R17, R18, R19, R20, R31, R32, R33",402,0ë© resistor,,,,,,,,,,,,,,,,,,
11,1.0uF,1.0UF-0402-16V-10%,"C3, C7, C16, C17, C21, C23, C25, C30, C31, C32, C34",402,1åµF ceramic capacitors,,,,,,,,,,,,CAP-12417,,,,,,1.0uF
2,1.0uF,1.0UF-0603-16V-10%,"C6, C9",603,1åµF ceramic capacitors,,,,,,,,,,,,CAP-00868,,,,,,1.0uF
1,1.5nF,1.5NF-0402,C38,402,,,,,,,,,,,,,,,,,,,1.5nF
1,100uF,100UF-1210-20%-10V,C29,1210,,,,,,,,,,,,,,,,,,,100uF
1,100uF,100UF-POLAR-RADIAL-2.5MM-25V-20%,C1,CPOL-RADIAL-2.5MM-6.5MM,100åµF polarized capacitors,,,,,,,,,,,,CAP-08439,,,,,,100uF
16,10k,10KOHM-0402-1/10W-1%,"R14, R15, R16, R23, R24, R25, R26, R27, R28, R29, R30, R53, R54, R55, R56, R66",402,10kë© resistor,,,,,,,,,,,,,,,,,,10k
2,10nF,10NF-0402-50V-10%,"C2, C14",402,"0.01uF/10nF/10,000pF ceramic capacitors",,,,,,,,,,,,,,,,,,10nF
1,10uF,10UF-0402-6.3V-20%,C28,402,10.0åµF ceramic capacitors,,,,,,,,,,,,,,,,,,10uF
13,10uF,10UF-0603-6.3V-20%,"C5, C8, C10, C13, C15, C18, C20, C49, C50, C51, C52, C53, C54",603,10.0åµF ceramic capacitors,,,,,,,,,,,,CAP-11015,,,,,,10uF
13,1k,1KOHM-0402-1%,"R22, R45, R46, R47, R48, R57, R58, R59, R60, R61, R62, R63, R64",402,1kë© resistor,,,,,,,,,,,,,,,,,,1k
1,1M,1MOHM-0402-1/4W-5%,R3,402,1Më© resistor,,,,,,,,,,,,C26083,,,,,,1M
1,2.2k,2.2KOHM-0603-1/10W-1%,R21,603,2.2kë© resistor,,,,,,,,,,,,RES-08272,,,,,,2.2k
2,2.2uF,2.2UF-0402-10V-20%,"C90, C91",402,2.2åµF ceramic capacitors,,,,,,,,,,,,,,,,,,2.2uF
4,2.2uF,2.2UF-0603-10V-20%,"C4, C11, C12, C19",603,2.2åµF ceramic capacitors,,,,,,,,,,,,CAP-07888,,,,,,2.2uF
1,22k,22KOHM0402-1/10W-1%,R65,402,22kë© resistor,,,,,,,,,,,,,,,,,,22k
9,22,22OHM-0402-1/10W-1%,"R36, R37, R38, R39, R40, R49, R50, R51, R52",402,22ë© resistor,,,,,,,,,,,,RES-12427,,,,,,22
4,22pF,22PF-0402-50V-5%,"C57, C58, C78, C79",402,22pF ceramic capacitors,,,,,,,,,,,,,,,,,,22pF
6,4.7k,4.7KOHM-0402-1/10W-1%,"R34, R35, R41, R42, R43, R44",402,4.7kë© resistor,,,,,,,,,,,,,,,,,,4.7k
